epoch,loss,val_loss
0,0.015956439077854156,0.013520998880267143
1,0.011393033899366856,0.009601134806871414
2,0.009592493996024132,0.008617755025625229
3,0.009037133306264877,0.008532564155757427
4,0.008971916511654854,0.008413603529334068
5,0.008806801401078701,0.00833691656589508
6,0.00882149487733841,0.008579615503549576
7,0.008739993907511234,0.008625763468444347
8,0.008764252997934818,0.008519260212779045
9,0.00876981858164072,0.00839915033429861
10,0.008757137693464756,0.008431017398834229
11,0.008615286089479923,0.008498898707330227
12,0.00877324678003788,0.008376027457416058
